Link , Text
https://medium.com/the-mission/life-gets-a-lot-better-when-you-stop-giving-a-f-ck-dbf96255e069?source=top_stories---------14---------,yesterday
https://medium.com/the-mission/life-gets-a-lot-better-when-you-stop-giving-a-f-ck-dbf96255e069?source=top_stories---------14---------,Life Gets (a Lot) Better When You Stop Giving a F*ckIt is human nature to want to be liked and accepted, hence the insane pursuit of conformity. But you can make a conscious effort to stop giving a damn; to let yourself free. It’s a skill that needs to be practiced, like…
https://medium.com/the-mission/life-gets-a-lot-better-when-you-stop-giving-a-f-ck-dbf96255e069?source=top_stories---------14---------,Read more…
https://medium.com/the-mission/life-gets-a-lot-better-when-you-stop-giving-a-f-ck-dbf96255e069?source=top_stories---------14---------,22 responses
https://medium.com/@mhkt,
https://medium.com/@mhkt?source=top_stories---------19---------,Matt Hackett
https://medium.com/@mhkt/beme-is-shutting-down-but-our-work-is-just-starting-3d4636b37c32?source=top_stories---------19---------,yesterday
https://medium.com/@mhkt/beme-is-shutting-down-but-our-work-is-just-starting-3d4636b37c32?source=top_stories---------19---------,Beme is Shutting Down, But Our Work Is Just StartingWhy I’m proud we’re joining CNN
https://medium.com/@mhkt/beme-is-shutting-down-but-our-work-is-just-starting-3d4636b37c32?source=top_stories---------19---------,Read more…
https://medium.com/@mhkt/beme-is-shutting-down-but-our-work-is-just-starting-3d4636b37c32?source=top_stories---------19---------,30 responses
https://medium.com/3minread,Blog
https://medium.com/policy/f03bf92035c9,Privacy
https://medium.com/policy/9db0094a1e0f,Terms
https://medium.com/browse/bookmarks,Bookmarks
https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F%40WomenDeliver,Sign in / Sign up
https://medium.com/@WomenDeliver/following,177 Following
https://medium.com/@WomenDeliver/followers,4.2K Followers
https://medium.com/@WomenDeliver/latest,Latest
https://medium.com/@WomenDeliver/highlights,Highlights
https://medium.com/@WomenDeliver?source=user_profile---------1---------,Women Deliver
https://medium.com/athena-talks?source=user_profile---------1---------,Athena Talks
https://medium.com/athena-talks/using-photography-to-combat-child-marriage-an-interview-with-photojournalist-stephanie-sinclair-9ae95b4b5b51?source=user_profile---------1---------,Nov 23
https://medium.com/athena-talks/using-photography-to-combat-child-marriage-an-interview-with-photojournalist-stephanie-sinclair-9ae95b4b5b51?source=user_profile---------1---------,Using Photography to Combat Child Marriage: An Interview with Photojournalist Stephanie Sinclair
https://medium.com/athena-talks/using-photography-to-combat-child-marriage-an-interview-with-photojournalist-stephanie-sinclair-9ae95b4b5b51?source=user_profile---------1---------,Read more…
